"Geography/Registration Address/Voter File Source State","Demographics/Individual/Ethnicity/VoterBase Race","Voting/Voting Behavior/TSP - Mid-Term General Turnout Score Bucket","Issues/Modeled/TSP - Partisan Score Bucket","Geography/Registration Address/Voter File State Senate District","All Record Count"
"AK","W - White","40-49.9","90-100","G","437"
"AK","W - White","70-79.9","20-29.9","O","436"
"AK","W - White","0-9.9","20-29.9","O","433"
"AK","W - White","60-69.9","10-19.9","Q","433"
"AK","W - White","40-49.9","90-100","L","431"
"AK","W - White","70-79.9","90-100","P","430"
"AK","W - White","60-69.9","20-29.9","O","426"
"AK","W - White","60-69.9","10-19.9","M","426"
"AK","W - White","10-19.9","90-100","H","421"
"AK","W - White","90-100","20-29.9","A","420"
"AK","W - White","60-69.9","0-9.9","K","420"
"AK","W - White","60-69.9","0-9.9","B","417"
"AK","W - White","0-9.9","30-39.9","D","417"
"AK","W - White","10-19.9","30-39.9","N","416"
"AK","W - White","50-59.9","0-9.9","F","415"
"AK","W - White","20-29.9","90-100","B","415"
"AK","W - White","80-89.9","90-100","N","415"
"AK","W - White","50-59.9","90-100","R","415"
"AK","W - White","30-39.9","10-19.9","R","415"
"AK","W - White","70-79.9","0-9.9","K","415"
"AK","N - Native American","0-9.9","10-19.9","T","414"
"AK","W - White","60-69.9","90-100","A","413"
"AK","W - White","0-9.9","0-9.9","C","411"
"AK","W - White","40-49.9","0-9.9","G","410"
"AK","W - White","90-100","90-100","D","409"
"AK","W - White","50-59.9","10-19.9","A","408"
"AK","W - White","0-9.9","20-29.9","A","407"
"AK","W - White","50-59.9","0-9.9","B","406"
"AK","W - White","90-100","30-39.9","L","404"
"AK","N - Native American","0-9.9","10-19.9","S","403"
"AK","W - White","90-100","40-49.9","L","403"
"AK","W - White","90-100","30-39.9","N","402"
"AK","W - White","0-9.9","30-39.9","N","400"
"AK","W - White","40-49.9","0-9.9","F","397"
"AK","W - White","80-89.9","30-39.9","R","397"
"AK","W - White","90-100","80-89.9","B","396"
"AK","W - White","60-69.9","20-29.9","C","396"
"AK","W - White","90-100","30-39.9","O","395"
"AK","W - White","90-100","50-59.9","L","395"
"AK","W - White","30-39.9","80-89.9","B","394"
"AK","W - White","40-49.9","0-9.9","H","394"
"AK","W - White","40-49.9","0-9.9","E","394"
"AK","W - White","0-9.9","20-29.9","R","393"
"AK","W - White","40-49.9","90-100","K","393"
"AK","W - White","60-69.9","10-19.9","A","393"
"AK","W - White","90-100","40-49.9","F","393"
"AK","W - White","60-69.9","10-19.9","C","392"
"AK","W - White","30-39.9","0-9.9","I","390"
"AK","W - White","10-19.9","90-100","K","387"
"AK","W - White","70-79.9","10-19.9","Q","385"
"AK","W - White","40-49.9","10-19.9","R","385"
"AK","W - White","10-19.9","10-19.9","P","384"
"AK","W - White","90-100","90-100","N","384"
"AK","W - White","90-100","10-19.9","O","383"
"AK","W - White","0-9.9","10-19.9","S","381"
"AK","W - White","60-69.9","90-100","P","380"
"AK","W - White","20-29.9","10-19.9","Q","380"
"AK","W - White","10-19.9","80-89.9","H","378"
"AK","N - Native American","0-9.9","20-29.9","T","377"
"AK","W - White","50-59.9","0-9.9","G","376"
"AK","W - White","10-19.9","90-100","E","376"
"AK","W - White","10-19.9","20-29.9","C","375"
"AK","W - White","0-9.9","10-19.9","P","374"
"AK","W - White","70-79.9","20-29.9","D","373"
"AK","W - White","80-89.9","20-29.9","B","373"
"AK","W - White","10-19.9","20-29.9","A","372"
"AK","W - White","30-39.9","90-100","E","371"
"AK","W - White","10-19.9","90-100","F","371"
"AK","W - White","90-100","20-29.9","N","371"
"AK","W - White","80-89.9","80-89.9","B","370"
"AK","W - White","50-59.9","0-9.9","K","366"
"AK","W - White","90-100","20-29.9","F","366"
"AK","W - White","90-100","50-59.9","F","366"
